Create itemsets.
Merge itemsets.
Create parsing table.
19.33 seconds used to create parser.
================= Action Table =================
(90, >=) => (r131076)
(90, >) => (r131076)
(90, *) => (r131076)
(90, -) => (r131076)
(90, ,) => (r131076)
(91, zero) => (r196608)
(91, newline) => (r196608)
(91, /) => (r196608)
(91, )) => (r196608)
(91, ;) => (r196608)
(91, <) => (r196608)
(91, }) => (r196608)
(91, +) => (r196608)
(91, <=) => (r196608)
(91, ==) => (r196608)
(91, >=) => (r196608)
(91, >) => (r196608)
(91, *) => (r196608)
(91, -) => (r196608)
(91, ,) => (r196608)
(96, newline) => (s64)
(96, ;) => (s63)
(96, }) => (s131)
(99, zero) => (r262145)
(99, newline) => (r262145)
(99, ;) => (r262145)
(99, }) => (r262145)
(100, zero) => (r262147)
(100, newline) => (r262147)
(100, ;) => (r262147)
(100, }) => (r262147)
(101, zero) => (r262148)
(101, newline) => (r262148)
(101, ;) => (r262148)
(101, }) => (r262148)
(102, zero) => (r327680)
(102, newline) => (r327680)
(102, ;) => (r327680)
(102, }) => (r327680)
(103, zero) => (r327681)
(103, newline) => (r327681)
(103, ;) => (r327681)
(103, }) => (r327681)
(104, zero) => (r327682)
(104, newline) => (r327682)
(104, ;) => (r327682)
(104, }) => (r327682)
(105, zero) => (r327683)
(105, newline) => (r327683)
(105, ;) => (r327683)
(105, }) => (r327683)
(106, zero) => (r327684)
(106, newline) => (r327684)
(106, ;) => (r327684)
(106, }) => (r327684)
(107, zero) => (r327685)
(107, newline) => (r327685)
(107, ;) => (r327685)
(107, }) => (r327685)
(108, zero) => (r327686)
(108, newline) => (r327686)
(108, ;) => (r327686)
(108, }) => (r327686)
(109, zero) => (r327687)
(109, newline) => (r327687)
(109, ;) => (r327687)
(109, }) => (r327687)
(113, zero) => (r393216)
(113, newline) => (r393216)
(113, ;) => (r393216)
(113, }) => (r393216)
(114, zero) => (r393217)
(114, newline) => (r393217)
(114, ;) => (r393217)
(114, }) => (r393217)
(116, zero) => (r393218)
(116, newline) => (r393218)
(116, ;) => (r393218)
(116, }) => (r393218)
(117, zero) => (r393219)
(117, newline) => (r393219)
(117, ;) => (r393219)
(117, }) => (r393219)
(119, zero) => (r393220)
(119, newline) => (r393220)
(119, ;) => (r393220)
(119, }) => (r393220)
(120, zero) => (r393221)
(120, newline) => (r393221)
(120, ;) => (r393221)
(120, }) => (r393221)
(124, zero) => (r458752)
(124, newline) => (r458752)
(124, ;) => (r458752)
(124, }) => (r458752)
(125, zero) => (r458753)
(125, newline) => (r458753)
(125, ;) => (r458753)
(125, }) => (r458753)
(126, {) => (s60)
(130, zero) => (r524288)
(130, newline) => (r524288)
(130, ;) => (r524288)
(130, }) => (r524288)
(131, while) => (s132)
(134, zero) => (r524289)
(134, newline) => (r524289)
(134, ;) => (r524289)
(134, }) => (r524289)
(136, zero) => (r589824)
(136, newline) => (r589824)
(136, ;) => (r589824)
(136, }) => (r589824)
(137, zero) => (r655360)
(137, newline) => (r655360)
(137, ;) => (r655360)
(137, }) => (r655360)
(138, zero) => (r720896)
(138, newline) => (r720896)
(138, ;) => (r720896)
(138, }) => (r720896)
(139, zero) => (r786437)
(139, newline) => (r786437)
(139, )) => (r786437)
(139, ;) => (r786437)
(139, }) => (r786437)
(140, zero) => (r786432)
(140, newline) => (r786432)
(140, )) => (r786432)
(140, ;) => (r786432)
(140, }) => (r786432)
(141, zero) => (r786433)
(141, newline) => (r786433)
(141, )) => (r786433)
(141, ;) => (r786433)
(141, }) => (r786433)
(142, zero) => (r786434)
(142, newline) => (r786434)
(142, )) => (r786434)
(142, ;) => (r786434)
(142, }) => (r786434)
(143, zero) => (r786435)
(143, newline) => (r786435)
(143, )) => (r786435)
(143, ;) => (r786435)
(143, }) => (r786435)
(144, zero) => (r786436)
(144, newline) => (r786436)
(144, )) => (r786436)
(144, ;) => (r786436)
(144, }) => (r786436)
(145, zero) => (r851968)
(145, newline) => (r851968)
(145, )) => (r851968)
(145, ;) => (r851968)
(145, <) => (r851968)
(145, }) => (r851968)
(145, +) => (r851968)
(145, <=) => (r851968)
(145, ==) => (r851968)
(145, >=) => (r851968)
(145, >) => (r851968)
(145, -) => (r851968)
(146, zero) => (r851969)
(146, newline) => (r851969)
(146, )) => (r851969)
(146, ;) => (r851969)
(146, <) => (r851969)
(146, }) => (r851969)
(146, +) => (r851969)
(146, <=) => (r851969)
(146, ==) => (r851969)
(146, >=) => (r851969)
(146, >) => (r851969)
(146, -) => (r851969)
(147, zero) => (r851970)
(147, newline) => (r851970)
(147, )) => (r851970)
(147, ;) => (r851970)
(147, <) => (r851970)
(147, }) => (r851970)
(147, +) => (r851970)
(147, <=) => (r851970)
(147, ==) => (r851970)
(147, >=) => (r851970)
(147, >) => (r851970)
(147, -) => (r851970)
(148, zero) => (r917504)
(148, newline) => (r917504)
(148, /) => (r917504)
(148, )) => (r917504)
(148, ;) => (r917504)
(148, <) => (r917504)
(148, }) => (r917504)
(148, +) => (r917504)
(148, <=) => (r917504)
(148, ==) => (r917504)
(148, >=) => (r917504)
(148, >) => (r917504)
(148, *) => (r917504)
(148, -) => (r917504)
(149, zero) => (r917505)
(149, newline) => (r917505)
(149, /) => (r917505)
(149, )) => (r917505)
(149, ;) => (r917505)
(149, <) => (r917505)
(149, }) => (r917505)
(149, +) => (r917505)
(149, <=) => (r917505)
(149, ==) => (r917505)
(149, >=) => (r917505)
(149, >) => (r917505)
(149, *) => (r917505)
(149, -) => (r917505)
(150, zero) => (r917506)
(150, newline) => (r917506)
(150, /) => (r917506)
(150, )) => (r917506)
(150, ;) => (r917506)
(150, <) => (r917506)
(150, }) => (r917506)
(150, +) => (r917506)
(150, <=) => (r917506)
(150, ==) => (r917506)
(150, >=) => (r917506)
(150, >) => (r917506)
(150, *) => (r917506)
(150, -) => (r917506)
(152, zero) => (r983040)
(152, newline) => (r983040)
(152, /) => (r983040)
(152, )) => (r983040)
(152, ;) => (r983040)
(152, <) => (r983040)
(152, }) => (r983040)
(152, +) => (r983040)
(152, <=) => (r983040)
(152, ==) => (r983040)
(152, >=) => (r983040)
(152, >) => (r983040)
(152, *) => (r983040)
(152, -) => (r983040)
(152, ,) => (r983040)
(153, zero) => (r983041)
(153, newline) => (r983041)
(153, /) => (r983041)
(153, )) => (r983041)
(153, ;) => (r983041)
(153, <) => (r983041)
(153, }) => (r983041)
(153, +) => (r983041)
(153, <=) => (r983041)
(153, ==) => (r983041)
(153, >=) => (r983041)
(153, >) => (r983041)
(153, *) => (r983041)
(153, -) => (r983041)
(153, ,) => (r983041)
(154, zero) => (r983042)
(154, newline) => (r983042)
(154, /) => (r983042)
(154, )) => (r983042)
(154, ;) => (r983042)
(154, <) => (r983042)
(154, }) => (r983042)
(154, +) => (r983042)
(154, <=) => (r983042)
(154, ==) => (r983042)
(154, >=) => (r983042)
(154, >) => (r983042)
(154, *) => (r983042)
(154, -) => (r983042)
(154, ,) => (r983042)
(155, zero) => (r983043)
(155, newline) => (r983043)
(155, /) => (r983043)
(155, )) => (r983043)
(155, ;) => (r983043)
(155, <) => (r983043)
(155, }) => (r983043)
(155, +) => (r983043)
(155, <=) => (r983043)
(155, ==) => (r983043)
(155, >=) => (r983043)
(155, >) => (r983043)
(155, *) => (r983043)
(155, -) => (r983043)
(155, ,) => (r983043)
(158, zero) => (r1048576)
(158, newline) => (r1048576)
(158, ;) => (r1048576)
(158, }) => (r1048576)
(159, zero) => (r1048577)
(159, newline) => (r1048577)
(159, ;) => (r1048577)
(159, }) => (r1048577)
(162, zero) => (r1048578)
(162, newline) => (r1048578)
(162, ;) => (r1048578)
(162, }) => (r1048578)
(163, zero) => (r1048579)
(163, newline) => (r1048579)
(163, ;) => (r1048579)
(163, }) => (r1048579)
(164, zero) => (r1114112)
(164, newline) => (r1114112)
(164, ;) => (r1114112)
(164, }) => (r1114112)
(166, zero) => (r1114113)
(166, newline) => (r1114113)
(166, ;) => (r1114113)
(166, }) => (r1114113)
(167, )) => (r1179648)
(167, ,) => (r1179648)
(168, )) => (r1179649)
(168, ,) => (r1179649)

================== Goto Table ==================
(0, $stmt_seq) => 1
(0, $function_def) => 108
(0, $id) => 135
(0, $do_while_stmt) => 107
(0, $read_stmt) => 105
(0, $write_stmt) => 106
(0, $assign_stmt) => 104
(0, $function_call) => 109
(0, $while_stmt) => 103
(0, $stmt) => 101
(0, $if_stmt) => 102
(2, $id) => 137
(3, $id) => 138
(4, $num) => 153
(4, $id) => 155
(4, $str) => 154
(4, $simple_exp) => 140
(4, $term) => 147
(4, $factor) => 150
(5, $num) => 153
(5, $id) => 155
(5, $str) => 154
(5, $simple_exp) => 141
(5, $term) => 147
(5, $factor) => 150
(6, $num) => 153
(6, $id) => 155
(6, $str) => 154
(6, $simple_exp) => 142
(6, $term) => 147
(6, $factor) => 150
(7, $num) => 153
(7, $id) => 155
(7, $str) => 154
(7, $simple_exp) => 143
(7, $term) => 147
(7, $factor) => 150
(8, $num) => 153
(8, $id) => 155
(8, $str) => 154
(8, $simple_exp) => 144
(8, $term) => 147
(8, $factor) => 150
(9, $num) => 153
(9, $id) => 155
(9, $str) => 154
(9, $term) => 145
(9, $factor) => 150
(10, $num) => 153
(10, $id) => 155
(10, $str) => 154
(10, $term) => 146
(10, $factor) => 150
(11, $num) => 153
(11, $id) => 155
(11, $str) => 154
(11, $factor) => 148
(12, $num) => 153
(12, $id) => 155
(12, $str) => 154
(12, $factor) => 149
(13, $id) => 156
(14, $num) => 153
(14, $id) => 155
(14, $str) => 154
(14, $simple_exp) => 140
(14, $term) => 147
(14, $factor) => 150
(15, $num) => 153
(15, $id) => 155
(15, $str) => 154
(15, $simple_exp) => 141
(15, $term) => 147
(15, $factor) => 150
(16, $num) => 153
(16, $id) => 155
(16, $str) => 154
(16, $simple_exp) => 142
(16, $term) => 147
(16, $factor) => 150
(17, $num) => 153
(17, $id) => 155
(17, $str) => 154
(17, $simple_exp) => 143
(17, $term) => 147
(17, $factor) => 150
(18, $num) => 153
(18, $id) => 155
(18, $str) => 154
(18, $simple_exp) => 144
(18, $term) => 147
(18, $factor) => 150
(19, $num) => 153
(19, $id) => 155
(19, $str) => 154
(19, $term) => 145
(19, $factor) => 150
(20, $num) => 153
(20, $id) => 155
(20, $str) => 154
(20, $term) => 146
(20, $factor) => 150
(21, $num) => 153
(21, $id) => 155
(21, $str) => 154
(21, $factor) => 148
(22, $num) => 153
(22, $id) => 155
(22, $str) => 154
(22, $factor) => 149
(23, $num) => 153
(23, $id) => 155
(23, $str) => 154
(23, $factor) => 167
(23, $argument_list) => 160
(24, $num) => 153
(24, $id) => 155
(24, $str) => 154
(24, $factor) => 167
(24, $argument_list) => 165
(25, $num) => 153
(25, $id) => 155
(25, $str) => 154
(25, $factor) => 168
(26, $num) => 153
(26, $id) => 155
(26, $str) => 154
(26, $simple_exp) => 139
(26, $exp) => 136
(26, $term) => 147
(26, $factor) => 150
(27, $num) => 153
(27, $id) => 155
(27, $str) => 154
(27, $term) => 145
(27, $factor) => 150
(28, $num) => 153
(28, $id) => 155
(28, $str) => 154
(28, $term) => 146
(28, $factor) => 150
(29, $num) => 153
(29, $id) => 155
(29, $str) => 154
(29, $factor) => 148
(30, $num) => 153
(30, $id) => 155
(30, $str) => 154
(30, $factor) => 149
(31, $num) => 153
(31, $id) => 155
(31, $str) => 154
(31, $simple_exp) => 139
(31, $exp) => 111
(31, $term) => 147
(31, $factor) => 150
(32, $num) => 153
(32, $id) => 155
(32, $str) => 154
(32, $simple_exp) => 139
(32, $exp) => 122
(32, $term) => 147
(32, $factor) => 150
(33, $num) => 153
(33, $id) => 155
(33, $str) => 154
(33, $simple_exp) => 139
(33, $exp) => 129
(33, $term) => 147
(33, $factor) => 150
(34, $num) => 153
(34, $id) => 155
(34, $str) => 154
(34, $simple_exp) => 139
(34, $exp) => 133
(34, $term) => 147
(34, $factor) => 150
(35, $num) => 153
(35, $id) => 155
(35, $str) => 154
(35, $simple_exp) => 139
(35, $exp) => 151
(35, $term) => 147
(35, $factor) => 150
(36, $num) => 153
(36, $id) => 155
(36, $str) => 154
(36, $term) => 145
(36, $factor) => 150
(37, $num) => 153
(37, $id) => 155
(37, $str) => 154
(37, $term) => 146
(37, $factor) => 150
(38, $num) => 153
(38, $id) => 155
(38, $str) => 154
(38, $factor) => 148
(39, $num) => 153
(39, $id) => 155
(39, $str) => 154
(39, $factor) => 149
(40, $num) => 153
(40, $id) => 155
(40, $str) => 154
(40, $simple_exp) => 139
(40, $exp) => 136
(40, $term) => 147
(40, $factor) => 150
(41, $num) => 153
(41, $id) => 155
(41, $str) => 154
(41, $term) => 145
(41, $factor) => 150
(42, $num) => 153
(42, $id) => 155
(42, $str) => 154
(42, $term) => 146
(42, $factor) => 150
(43, $num) => 153
(43, $id) => 155
(43, $str) => 154
(43, $factor) => 148
(44, $num) => 153
(44, $id) => 155
(44, $str) => 154
(44, $factor) => 149
(45, $id) => 137
(46, $id) => 138
(47, $num) => 153
(47, $id) => 155
(47, $str) => 154
(47, $simple_exp) => 140
(47, $term) => 147
(47, $factor) => 150
(48, $num) => 153
(48, $id) => 155
(48, $str) => 154
(48, $simple_exp) => 141
(48, $term) => 147
(48, $factor) => 150
(49, $num) => 153
(49, $id) => 155
(49, $str) => 154
(49, $simple_exp) => 142
(49, $term) => 147
(49, $factor) => 150
(50, $num) => 153
(50, $id) => 155
(50, $str) => 154
(50, $simple_exp) => 143
(50, $term) => 147
(50, $factor) => 150
(51, $num) => 153
(51, $id) => 155
(51, $str) => 154
(51, $simple_exp) => 144
(51, $term) => 147
(51, $factor) => 150
(52, $num) => 153
(52, $id) => 155
(52, $str) => 154
(52, $term) => 145
(52, $factor) => 150
(53, $num) => 153
(53, $id) => 155
(53, $str) => 154
(53, $term) => 146
(53, $factor) => 150
(54, $num) => 153
(54, $id) => 155
(54, $str) => 154
(54, $factor) => 148
(55, $num) => 153
(55, $id) => 155
(55, $str) => 154
(55, $factor) => 149
(56, $stmt_seq) => 92
(56, $function_def) => 108
(56, $id) => 135
(56, $do_while_stmt) => 107
(56, $read_stmt) => 105
(56, $write_stmt) => 106
(56, $assign_stmt) => 104
(56, $function_call) => 109
(56, $while_stmt) => 103
(56, $stmt) => 101
(56, $if_stmt) => 102
(57, $stmt_seq) => 93
(57, $function_def) => 108
(57, $id) => 135
(57, $do_while_stmt) => 107
(57, $read_stmt) => 105
(57, $write_stmt) => 106
(57, $assign_stmt) => 104
(57, $function_call) => 109
(57, $while_stmt) => 103
(57, $stmt) => 101
(57, $if_stmt) => 102
(58, $stmt_seq) => 94
(58, $function_def) => 108
(58, $id) => 135
(58, $do_while_stmt) => 107
(58, $read_stmt) => 105
(58, $write_stmt) => 106
(58, $assign_stmt) => 104
(58, $function_call) => 109
(58, $while_stmt) => 103
(58, $stmt) => 101
(58, $if_stmt) => 102
(59, $stmt_seq) => 95
(59, $function_def) => 108
(59, $id) => 135
(59, $do_while_stmt) => 107
(59, $read_stmt) => 105
(59, $write_stmt) => 106
(59, $assign_stmt) => 104
(59, $function_call) => 109
(59, $while_stmt) => 103
(59, $stmt) => 101
(59, $if_stmt) => 102
(60, $stmt_seq) => 96
(60, $function_def) => 108
(60, $id) => 135
(60, $do_while_stmt) => 107
(60, $read_stmt) => 105
(60, $write_stmt) => 106
(60, $assign_stmt) => 104
(60, $function_call) => 109
(60, $while_stmt) => 103
(60, $stmt) => 101
(60, $if_stmt) => 102
(61, $stmt_seq) => 97
(61, $function_def) => 108
(61, $id) => 135
(61, $do_while_stmt) => 107
(61, $read_stmt) => 105
(61, $write_stmt) => 106
(61, $assign_stmt) => 104
(61, $function_call) => 109
(61, $while_stmt) => 103
(61, $stmt) => 101
(61, $if_stmt) => 102
(62, $stmt_seq) => 98
(62, $function_def) => 108
(62, $id) => 135
(62, $do_while_stmt) => 107
(62, $read_stmt) => 105
(62, $write_stmt) => 106
(62, $assign_stmt) => 104
(62, $function_call) => 109
(62, $while_stmt) => 103
(62, $stmt) => 101
(62, $if_stmt) => 102
(63, $function_def) => 108
(63, $id) => 135
(63, $do_while_stmt) => 107
(63, $read_stmt) => 105
(63, $write_stmt) => 106
(63, $assign_stmt) => 104
(63, $function_call) => 109
(63, $while_stmt) => 103
(63, $stmt) => 99
(63, $if_stmt) => 102
(64, $function_def) => 108
(64, $id) => 135
(64, $do_while_stmt) => 107
(64, $read_stmt) => 105
(64, $write_stmt) => 106
(64, $assign_stmt) => 104
(64, $function_call) => 109
(64, $while_stmt) => 103
(64, $stmt) => 100
(64, $if_stmt) => 102
(66, $num) => 85
(67, $num) => 88
(68, $num) => 85
(69, $num) => 86
(70, $num) => 88
(71, $num) => 89
(72, $num) => 85
(73, $num) => 88
(74, $num) => 85
(75, $num) => 88
(76, $num) => 85
(77, $num) => 88
(78, $num) => 85
(79, $num) => 88
(80, $num) => 85
(81, $num) => 88
(82, $num) => 85
(83, $num) => 88
[E] unexpected symbol identifier at 1:3
